,Restaurant,Type,Yelp,Notes,Address
10,Tartine,Brunch,https://www.yelp.com/biz/tartine-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,253 W 11th St New York
11,Cafe Orlin,Brunch,https://www.yelp.com/biz/caf%C3%A9-orlin-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,41 St Marks Pl New York
12,Il Salumaio,Brunch,https://www.yelp.com/biz/san-matteo-takeaway-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,1731 2nd Ave New York
13,Elephant & Castle,Brunch,https://www.yelp.com/biz/elephant-and-castle-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,68 Greenwich Ave New York
14,Prune ,Brunch,https://www.yelp.com/biz/prune-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,54 E 1st St New York
15,Loi Estiatorio,Brunch,https://www.yelp.com/biz/loi-estiatorio-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,132 W 58th St New York
16,Ringolevio (Brooklyn),Brunch,https://www.yelp.com/biz/ringolevio-brooklyn?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,490 Humboldt St Brooklyn
17,Egg Shop,Brunch,https://www.yelp.com/biz/egg-shop-new-york-3?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,151 Elizabeth St New York
18,Bluestone Lane,Brunch,https://www.yelp.com/biz/bluestone-lane-brooklyn?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,55 Prospect St Brooklyn
19,Jack’s Wife Freda,Brunch,https://www.yelp.com/biz/jacks-wife-freda-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,224 Lafayette St New York
20,Maharlika,Brunch,https://www.yelp.com/biz/maharlika-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,111 1st Ave New York
21,Motorino,Pizza,https://www.yelp.com/biz/motorino-new-york-4?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,349 E 12th St New York
22,Rubirosa,Pizza,https://www.yelp.com/biz/rubirosa-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,235 Mulberry St New York
23,Joe’s,Pizza,https://www.yelp.com/biz/joes-shanghai-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,9 Pell St New York
24,Keste Pizza e Vino,Pizza,https://www.yelp.com/biz/kest%C3%A9-pizza-and-vino-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,271 Bleecker St New York
25,Emily,Pizza,https://www.yelp.com/biz/emily-brooklyn?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,919 Fulton St Brooklyn
26,Prince St. Pizza,Pizza,https://www.yelp.com/biz/prince-street-pizza-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,27 Prince St New York
27,Spumoni Gardens,Pizza,https://www.yelp.com/biz/l-and-b-spumoni-gardens-brooklyn?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,2725 86th St Brooklyn
28,Momofuku Milk Bar,Frozen Treats,https://www.yelp.com/biz/milk-bar-east-village-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,251 E 13th St New York
29,Morgenstern’s Finest Ice Cream,Frozen Treats,https://www.yelp.com/biz/morgensterns-finest-ice-cream-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,2 Rivington St New York
30,Gotham West Market ,Frozen Treats,https://www.yelp.com/biz/gotham-west-market-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,600 11th Ave New York
31,Dominique Ansel Kitchen,Frozen Treats,https://www.yelp.com/biz/dominique-ansel-kitchen-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,137 7th Ave S New York
32,Melt Bakery,Frozen Treats,https://www.yelp.com/biz/melt-bakery-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,132 Orchard St New York
33,Chinatown Ice Cream Factory,Frozen Treats,https://www.yelp.com/biz/chinatown-ice-cream-factory-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,65 Bayard St New York
34,Chloe’s Soft Serve,Frozen Treats,https://www.yelp.com/biz/chloes-soft-serve-fruit-co-new-york-4?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,25 E 17th St New York
35,Ample Hills Creamery,Frozen Treats,https://www.yelp.com/biz/ample-hills-creamery-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,600 11th Ave New York
36,Oddfellows Ice Cream,Frozen Treats,https://www.yelp.com/biz/oddfellows-ice-cream-co-new-york-8?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,75 E 4th St New York
37,Sundaes & Cones,Frozen Treats,https://www.yelp.com/biz/sundaes-and-cones-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,95 E 10th St New York
38,Snowdays Shavery,Frozen Treats,https://www.yelp.com/biz/snowdays-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,241 E 10th St New York
39,Dolce Gelateria,Frozen Treats,https://www.yelp.com/biz/dolce-brooklyn-brooklyn-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,305 Van Brunt St Brooklyn
40,Milk & Cookies Bakery,Frozen Treats,https://www.yelp.com/biz/milk-and-cookies-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,19 Commerce St New York
41,L’Arte del Gelato,Frozen Treats,https://www.yelp.com/biz/l-arte-del-gelato-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,75 9th Ave New York
42,Grom,Frozen Treats,https://www.yelp.com/biz/grom-new-york-3?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,1796 Broadway New York
43,Gansevoort Market,Frozen Treats,https://www.yelp.com/biz/gansevoort-market-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,353 W 14th St New York
44,popbar,Frozen Treats,https://www.yelp.com/biz/popbar-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,5 Carmine St New York
45,Doughnut Plant,Donuts,https://www.yelp.com/biz/doughnut-plant-new-york-4?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,379 Grand St New York
46,Dough,Donuts,https://www.yelp.com/biz/dough-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,14 W 19th St New York
47,Dun Well Doughnuts,Donuts,https://www.yelp.com/biz/dun-well-doughnuts-new-york-3?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,102 Saint Marks Pl New York
48,Lady M Confections,Cakes ,https://www.yelp.com/biz/lady-m-cake-boutique-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,41 E 78th St New York
49,Molly’s Cupcakes,Cakes ,https://www.yelp.com/biz/mollys-cupcakes-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,228 Bleecker St New York
50,Little Cupcake Bakeshop,Cakes ,https://www.yelp.com/biz/little-cupcake-bakeshop-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,30 Prince St New York
51,Eileen’s Special Cheesecake,Cakes ,https://www.yelp.com/biz/eileens-special-cheesecake-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,17 Cleveland Pl New York
52,Two Little Red Hens,Cakes ,https://www.yelp.com/biz/two-little-red-hens-new-york-4?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,1652 2nd Ave New York
53,Four & Twenty Blackbirds,Cakes ,https://www.yelp.com/biz/four-and-twenty-blackbirds-brooklyn?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,439 3rd Ave Brooklyn
54,Petee’s Pie Co.,Cakes ,https://www.yelp.com/biz/petees-pie-company-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,61 Delancey St New York
55,La Colombe Torrefaction,Coffee,https://www.yelp.com/biz/la-colombe-coffee-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,270 Lafayette St New York
56,Stumptown Coffee Roasters,Coffee,https://www.yelp.com/biz/stumptown-coffee-roasters-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,30 W 8th St New York
57,Chalait,Coffee,https://www.yelp.com/biz/chalait-new-york-8?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,1216 Broadway New York
58,Bibble & Sip,Coffee,https://www.yelp.com/biz/bibble-and-sip-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,253 W 51st St New York
59,Coffee RX ,Coffee,https://www.yelp.com/biz/coffee-rx-brooklyn?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,6903 3rd Ave Brooklyn
60,Red Farm,Fusion,https://www.yelp.com/biz/redfarm-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,2170 Broadway New York
61,Mooncake Foods,Fusion,https://www.yelp.com/biz/mooncake-foods-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,28 Watts St New York
62,Mission Chinese (!!!!!),Fusion,https://www.yelp.com/biz/mission-chinese-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,171 E Broadway New York
63,Perilla,Fusion,https://www.yelp.com/biz/talde-brooklyn?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,369 7th Ave Brooklyn
64,Prosperity Dumpling,Dumplings,https://www.yelp.com/biz/top-prosperity-dumpling-brooklyn?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,2369 86th St Brooklyn
65,Tasty Dumpling,Dumplings,https://www.yelp.com/biz/tasty-dumpling-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,42 Mulberry St New York
66,Jin Mei Dumplings,Dumplings,https://www.yelp.com/biz/jin-mei-dumpling-house-%E6%B4%A5%E7%BE%8E%E9%94%85%E8%B4%B4-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,25B Henry St New York
67,Fried Dumpling,Dumplings,https://www.yelp.com/biz/fried-dumpling-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,106 Mosco St New York
68,Vanessa’s,Dumplings,https://www.yelp.com/biz/vanessas-dumpling-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,220 E 14th St New York
69,Joe’s Shanghai (!!!!!!!),Dumplings,https://www.yelp.com/biz/joes-shanghai-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,9 Pell St New York
70,Shanghai Cafe Deluxe,Dumplings,https://www.yelp.com/biz/shanghai-cafe-new-york-4?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,100 Mott St New York
71,The Handpulled Noodle,Noodles,https://www.yelp.com/biz/the-handpulled-noodle-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,3600 Broadway New York
72,Tasty Hand-Pulled Noodles,Noodles,https://www.yelp.com/biz/tasty-hand-pulled-noodles-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,1 Doyers St New York
73,Lam Zhou Handmade Noodle,Noodles,https://www.yelp.com/biz/88-lan-zhou-handmade-noodles-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,40 Bowery St New York
74,Big Wong (roast duck noodle soup),Noodles,https://www.yelp.com/biz/tasty-hand-pulled-noodles-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,1 Doyers St New York
75,Pho Grand,Noodles,https://www.yelp.com/biz/pho-grand-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,277 Grand St New York
76,Pho Bang,Noodles,https://www.yelp.com/biz/pho-bang-elmhurst?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,8290 Broadway Elmhurst
77,New Bo Ky Restaurant,Noodles,https://www.yelp.com/biz/bo-ky-restaurant-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,80 Bayard St New York
78,Great N.Y. Noodletown,Noodles,https://www.yelp.com/biz/great-ny-noodle-town-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,28 Bowery New York
79,Ippudo ,Noodles,https://www.yelp.com/biz/ippudo-new-york-10?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,65 4th Ave New York
80,Totto,Noodles,https://www.yelp.com/biz/totto-ramen-new-york-12?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,366 W 52nd St New York
81,Mu Ramen,Noodles,https://www.yelp.com/biz/mu-ramen-long-island-city-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,12-09 Jackson Ave Long Island City
82,Ivan Ramen,Noodles,https://www.yelp.com/biz/ivan-ramen-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,25 Clinton St New York
83,Momofuku Noodle Bar,Noodles,https://www.yelp.com/biz/momofuku-noodle-bar-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,171 1st Ave New York
84,Ramen Lab,Noodles,https://www.yelp.com/biz/ramen-lab-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,70 Kenmare St New York
85,Noodle Village,Noodles,https://www.yelp.com/biz/noodle-village-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,13 Mott St New York
86,Spicy Village (da pan ji),Noodles,https://www.yelp.com/biz/xian-famous-foods-new-york-3?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,81 St Marks Pl New York
87,Zen 6,Noodles,https://www.yelp.com/biz/zen-6-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,328 E 6th St New York
88,Pepe Rosso To-Go,Pasta,https://www.yelp.com/biz/pepe-rosso-to-go-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,149 Sullivan St New York
89,Scarpetta (spaghetti),Pasta,https://www.yelp.com/biz/san-marzano-pasta-fresca-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,117 Second Ave New York
90,Bar Pitti,Pasta,https://www.yelp.com/biz/bar-pitti-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,268 Ave Of The Americas New York
91,Osteria Morini,Pasta,https://www.yelp.com/biz/osteria-morini-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,218 Lafayette St New York
92,Balthazar Bakery,Bread,https://www.yelp.com/biz/balthazar-boulangerie-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,80 Spring St New York
93,Parisi Bakery,Bread,https://www.yelp.com/biz/parisi-bakery-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,198 Mott St New York
94,Cheeky Sandwiches,Sandwiches,https://www.yelp.com/biz/cheeky-sandwiches-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,35 Orchard St New York
95,Num Pang Sandwich Shop,Sandwiches,https://www.yelp.com/biz/num-pang-kitchen-new-york-6?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,28 E 12th St New York
96,Xe May Sandwich Shop,Sandwiches,https://www.yelp.com/biz/xe-may-sandwich-shop-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,96 Saint Marks Pl New York
97,Banh Mi Saigon,Sandwiches,https://www.yelp.com/biz/banh-mi-saigon-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,198 Grand St New York
